"","id","ventas"
"1",150432,90.2394
"2",150686,157.1718
"3",150831,44.1558
"4",151926,100.5924
"5",153134,591.8754
"6",154107,141.2802
"7",154469,144.8502
"8",154989,105.4884
"9",155009,226.95
"10",155242,213.4146
"11",155264,77.1222
"12",157094,117.6876
"13",158335,104.7846
"14",158864,100.0824
"15",159361,79.8966
"16",160186,87.0876
"17",160830,41.1672
"18",161583,80.3454
"19",162072,107.4468
"20",162416,119.2278
"21",162598,106.7226
"22",163009,73.95
"23",164296,65.2188
"24",164601,69.7272
"25",164607,123.114
"26",166435,85.884
"27",166847,104.8866
"28",167391,130.5396
"29",167585,145.605
"30",167998,257.5806
"31",168531,44.1048
"32",168631,76.9692
"33",171031,162.2106
"34",171683,104.6928
"35",171787,207.0498
"36",171837,70.4922
"37",172445,130.713
"38",172511,224.1348
"39",172810,591.7428
"40",173195,104.0502
"41",173395,116.535
"42",173573,166.7904
"43",173896,169.7994
"44",174178,214.8324
"45",175691,154.326
"46",176246,534.4086
"47",176653,255.7752
"48",177001,131.0598
"49",177134,153.153
"50",178019,51.918
"51",178159,1024.6614
"52",179004,85.5066
"53",179474,147.4104
"54",179567,100.2762
"55",179714,6060.2688
"56",179929,133.0284
"57",180684,90.2598
"58",180801,114.1482
"59",181199,112.8018
"60",181565,257.5092
"61",182074,115.0356
"62",184632,125.205
"63",184947,84.966
"64",186118,138.312
"65",186356,110.1294
"66",186372,133.0182
"67",186731,121.1352
"68",186937,165.393
"69",187079,134.487
"70",187593,271.116
"71",187651,94.044
"72",188109,118.8912
"73",188336,84.7416
"74",188751,157.4268
"75",188820,1008.4332
"76",188847,92.2488
"77",189833,113.0466
"78",192172,177.0108
"79",193230,215.8014
"80",193278,141.9942
"81",193337,108.6606
"82",193394,107.4876
"83",194449,72.9402
"84",194897,394.6788
"85",195726,84.1806
"86",195864,132.3144
"87",196249,101.7348
"88",196367,160.4562
"89",196707,120.9414
"90",196853,124.389
"91",197389,643.0998
"92",198359,54.1416
"93",199090,122.6652
"94",199564,133.5792
"95",199762,112.5978
"96",250009,153.7242
"97",250055,188.5776
"98",250059,442.374
"99",250077,137.0472
"100",250096,113.5566
"101",250105,421.3212
"102",250120,404.9094
"103",250124,73.0116
"104",250132,166.1172
"105",250135,233.427
"106",250181,142.4328
"107",250212,113.0262
"108",250234,356.7552
"109",250240,211.6806
