,id,ventas,,
276,589158,3731.772,0%,
277,423664,3710.658,0%,
278,822238,3710.5356,0%,
279,991439,3693.512,0%,
280,581710,3693.3384,0%,
281,444524,3680.8536,0%,
282,923691,3679.395,0%,
283,516541,3674.652,0%,
284,630910,3672.1122,0%,
285,391532,3670.0212,0%,
286,961367,3667.216,0%,
287,335623,3657.1692,0%,
288,710992,3654.5172,0%,
289,760248,3650.274,0%,
290,713497,3643.9296,0%,
291,779703,3637.626,0%,
292,468730,3636.7284,0%,
293,317644,3624.9474,0%,
294,711883,3609.8718,0%,
295,793192,3604.9656,0%,
296,860702,3604.0068,0%,
297,972032,3602.599,0%,
298,467870,3600.549,0%,
299,506629,3600.3042,0%,
300,366824,3599.6004,0%,
301,715555,3597.438,0%,
302,437878,3594.5922,0%,
303,999677,3592.685,0%,
304,988957,3573.274,0%,
305,611666,3568.1538,0%,
306,789379,3562.7988,0%,
307,286158,3558.4128,0%,
308,612043,3541.8072,0%,
309,533179,3539.8896,0%,
310,881295,3536.289,0%,
311,262325,3527.8026,0%,
312,767198,3519.2142,0%,
313,578622,3519.0306,0%,
314,606166,3509.973,0%,
315,829542,3496.0398,0%,
316,405588,3493.6836,0%,
317,439605,3489.4506,0%,
318,440893,3488.451,0%,
319,657181,3472.182,0%,
320,553067,3463.7874,0%,
321,713183,3461.2986,0%,
322,617110,3460.758,0%,
323,500282,3455.5866,0%,
324,566707,3447.8856,0%,
325,861814,3447.396,0%,
326,913198,3446.478,0%,
327,769614,3438.369,0%,
328,467416,3437.808,0%,
329,357158,3427.8936,0%,
330,582941,3427.1286,0%,
331,871600,3419.3562,0%,
332,691241,3410.115,0%,
333,447519,3401.5164,0%,
334,412200,3394.1928,0%,
335,914522,3387.257,0%,
336,783780,3384.4824,0%,
337,644996,3376.3326,0%,
338,635120,3365.6124,0%,
339,629809,3361.665,0%,
340,890723,3356.31,0%,
341,768100,3354.2802,0%,
342,415524,3345.9468,0%,
343,905026,3344.4576,0%,
344,816259,3338.8782,0%,
345,472501,3338.0622,0%,
346,998183,3337.644,0%,
347,968463,3326.975,0%,
348,846623,3321.0486,0%,
349,675038,3307.0644,0%,
350,622685,3304.8816,0%,
351,423355,3304.6776,0%,
352,675813,3302.1072,0%,
353,702353,3294.141,0%,
354,930529,3292.305,0%,
355,702102,3287.8986,0%,
356,887115,3285.3996,0%,
357,584636,3283.7268,0%,
358,678844,3280.5648,0%,
359,302313,3272.0274,0%,
360,323435,3271.5276,0%,
361,476301,3267.3252,0%,
362,905844,3256.6968,0%,
363,995257,3251.199,0%,
364,570003,3235.5522,0%,
365,301814,3232.482,0%,
366,490428,3230.6766,0%,
367,519350,3229.7994,0%,
368,251868,3219.528,0%,
369,626370,3218.406,0%,
370,308361,3214.6932,0%,
371,772308,3204.3198,0%,
372,774219,3203.871,0%,
373,766405,3201.8718,0%,
374,397872,3201.6066,0%,
375,659446,3192.7836,0%,
376,960775,3186.929,0%,
377,798095,3183.522,0%,
378,478122,3182.9508,0%,
379,905377,3181.6248,0%,
380,852209,3172.7406,0%,
381,779610,3168.8748,0%,
382,718232,3160.2252,0%,
383,730904,3158.9706,0%,
384,820501,3153.8706,0%,
385,401467,3153.0954,0%,
386,972062,3145.527,0%,
387,553950,3134.1336,0%,
388,423276,3126.5142,0%,
389,390455,3119.5272,0%,
390,534963,3112.5402,0%,
391,870508,3112.275,0%,
392,989938,3111.734,0%,
393,716693,3110.3268,0%,
394,825339,3108.654,0%,
395,744128,3107.1138,0%,
396,730756,3106.4202,0%,
397,549043,3103.4418,0%,
398,259292,3097.7298,0%,
399,807258,3089.529,0%,
400,582770,3089.1108,0%,
401,453345,3086.4282,0%,
402,511563,3084.5106,0%,
403,459735,3083.8986,0%,
404,353207,3081.522,0%,
405,449269,3077.0544,0%,
406,535577,3075.5652,0%,
407,944064,3075.331,0%,
408,920500,3071.404,0%,
409,360670,3066.987,0%,
410,976903,3066.314,0%,
411,665020,3061.5096,0%,
412,861529,3058.5924,0%,
413,333592,3054.645,0%,
414,397592,3041.2218,0%,
415,270980,3040.0794,0%,
416,504118,3036.0198,0%,
417,375659,3031.797,0%,
418,588013,3027.6762,0%,
419,966033,3024.953,0%,
420,946560,3024.881,0%,
421,459907,3024.7284,0%,
422,590901,3020.067,0%,
423,283490,3016.548,0%,
424,261084,3013.6818,0%,
425,801092,3012.5292,0%,
426,592069,3006.7662,0%,
427,434919,3003.1044,0%,
428,652506,3002.7066,0%,
429,798565,2996.1786,0%,
430,500676,2990.6298,0%,
431,686350,2989.9668,0%,
432,737231,2987.784,0%,
433,794529,2985.8358,0%,
434,986643,2976.299,0%,
435,633951,2973.861,0%,
436,571940,2970.6888,0%,
437,885958,2970.444,0%,
438,888754,2969.8524,0%,
439,654990,2962.3758,0%,
440,995115,2959.775,0%,
441,353364,2959.2852,0%,
442,382065,2955.1746,0%,
443,764288,2948.5752,0%,
444,479760,2942.8836,0%,
445,815104,2942.8224,0%,
446,322519,2938.0182,0%,
447,566088,2937.8448,0%,
448,406028,2935.7232,0%,
449,568400,2934.9684,0%,
450,277381,2930.7966,0%,
451,669385,2925.4926,0%,
452,890372,2924.8602,0%,
453,929315,2914.222,0%,
454,860649,2906.8878,0%,
455,940173,2904.552,0%,
456,325953,2903.6544,0%,
457,882509,2902.3896,0%,
458,977700,2901.074,0%,
459,327577,2900.217,0%,
460,982020,2893.373,0%,
461,493508,2884.2234,0%,
462,320504,2881.2858,0%,
463,274637,2881.041,0%,
464,342011,2879.511,0%,
465,326871,2876.91,0%,
466,698147,2873.6562,0%,
467,578201,2868.852,0%,
468,357515,2868.7806,0%,
469,300784,2867.0466,0%,
470,817986,2864.8638,0%,
471,394113,2861.0082,0%,
472,340322,2856.0102,0%,
473,250392,2855.133,0%,
474,885315,2854.368,0%,
475,677127,2851.4406,0%,
476,265594,2840.4552,0%,
477,686523,2840.4552,0%,
478,834470,2837.946,0%,
479,404338,2834.0598,0%,
480,296740,2829.7452,0%,
481,360800,2828.3376,0%,
482,726004,2826.1548,0%,
483,553056,2822.2278,0%,
484,392792,2816.7606,0%,
485,496308,2815.8834,0%,
486,881713,2809.5798,0%,
487,835237,2806.7544,0%,
488,769248,2800.0224,0%,
489,442713,2796.4014,0%,
490,510474,2794.9734,0%,
491,775919,2786.0688,0%,
492,786963,2784.9162,0%,
493,420710,2783.2434,0%,
494,610174,2781.6522,0%,
495,857310,2781.54,0%,
496,659674,2781.1524,0%,
497,651484,2777.0112,0%,
498,689187,2775.2466,0%,
499,286517,2775.2262,0%,
500,374186,2768.7492,0%,
501,547509,2768.433,0%,
502,614897,2763.8634,0%,
503,731380,2762.4252,0%,
504,430589,2762.4048,0%,
505,849963,2762.0988,0%,
506,958277,2759.987,0%,
507,866672,2756.8866,0%,
508,459424,2752.9392,0%,
509,441410,2746.5336,0%,
510,382258,2744.8506,0%,
511,355227,2744.0958,0%,
512,303690,2740.6992,0%,
513,797050,2738.0268,0%,
514,504728,2730.9582,0%,
515,532990,2730.1626,0%,
516,252307,2729.0304,0%,
517,693413,2725.6848,0%,
518,397552,2725.4604,0%,
519,576839,2722.9818,0%,
520,375316,2722.4004,0%,
521,568488,2713.5468,0%,
522,895383,2713.0776,0%,
523,921700,2704.112,0%,
524,794899,2699.6136,0%,
525,452560,2699.1342,0%,
526,778692,2697.2472,0%,
527,515973,2694.9114,0%,
528,321494,2694.738,0%,
529,679852,2692.137,0%,
530,961452,2690.036,0%,
531,537576,2685.5784,0%,
532,552384,2685.4356,0%,
533,882813,2682.1614,0%,
534,380879,2677.2552,0%,
535,492629,2677.1124,0%,
536,923154,2676.358,0%,
537,547773,2676.0822,0%,
538,532576,2673.6546,0%,
539,987838,2671.676,0%,
540,731011,2671.0332,0%,
541,971263,2668.249,0%,
542,577014,2658.4872,0%,
543,814871,2658.3852,0%,
544,520206,2655.9372,0%,
545,629751,2654.9784,0%,
546,537297,2653.53,0%,
547,359406,2650.8678,0%,
548,774909,2649.3378,0%,
549,526900,2648.8278,0%,
550,722444,2646.2268,0%,
551,312195,2642.004,0%,
552,975393,2642.004,0%,
553,385989,2640.678,0%,
554,448858,2640.6168,0%,
555,442654,2637.7506,0%,
556,524440,2636.7204,0%,
557,383617,2635.68,0%,
558,457114,2635.4352,0%,
559,369819,2630.7534,0%,
560,781523,2619.768,0%,
561,433903,2618.6766,0%,
562,584786,2615.2902,0%,
563,339533,2615.2494,0%,
564,722065,2610.2514,0%,
565,832881,2605.9776,0%,
566,401418,2605.5798,0%,
567,402678,2603.2338,0%,
568,768082,2602.9992,0%,
569,351056,2602.1322,0%,
570,420025,2601.0408,0%,
571,337910,2599.8678,0%,
572,408000,2597.634,0%,
573,799536,2595.7368,0%,
574,976929,2593.564,0%,
575,873883,2591.9832,0%,
576,900415,2584.1292,0%,
577,750205,2584.0782,0%,
578,915338,2581.997,0%,
579,448710,2579.8452,0%,
580,815568,2576.8362,0%,
581,758154,2570.0838,0%,
582,433576,2566.7994,0%,
583,269316,2566.1568,0%,
584,404979,2565.9834,0%,
585,583994,2564.9634,0%,
586,302362,2563.7904,0%,
587,345332,2563.7802,0%,
588,765559,2563.1886,0%,
589,331112,2561.0568,0%,
590,800781,2560.8018,0%,
591,489268,2558.8536,0%,
592,874412,2557.4358,0%,
593,766643,2554.947,0%,
594,795990,2554.5084,0%,
595,969607,2552.662,0%,
596,510706,2550.6936,0%,
597,877887,2548.98,0%,
598,472666,2548.9596,0%,
599,827038,2548.9188,0%,
600,623148,2546.7768,0%,
601,610522,2546.2158,0%,
602,656741,2544.1758,0%,
603,289576,2540.8404,0%,
604,321076,2540.1162,0%,
605,710550,2539.7184,0%,
606,822463,2533.6188,0%,
607,265028,2529.4674,0%,
608,647381,2526.7032,0%,
609,939810,2516.177,0%,
610,765913,2513.6064,0%,
611,775342,2512.5762,0%,
612,836156,2510.1078,0%,
613,570374,2509.6896,0%,
614,557397,2505.3444,0%,
615,489915,2499,0%,
616,576734,2498.0718,0%,
617,653520,2497.9188,0%,
618,333902,2497.0008,0%,
619,719157,2483.7408,0%,
620,581976,2482.1598,0%,
621,793543,2482.119,0%,
622,465176,2479.4976,0%,
623,429045,2476.2846,0%,
624,367489,2472.021,0%,
625,596927,2471.9904,0%,
626,830929,2470.3992,0%,
627,984121,2470.267,0%,
628,704758,2467.6554,0%,
629,282657,2466.8496,0%,
630,574785,2466.717,0%,
631,777145,2465.238,0%,
632,750047,2464.3608,0%,
633,289285,2459.2302,0%,
634,669081,2452.947,0%,
635,814326,2452.539,0%,
636,994451,2447.357,0%,
637,724130,2447.2554,0%,
638,368826,2445.1236,0%,
639,825308,2444.8584,0%,
640,361395,2444.6646,0%,
641,869045,2440.7886,0%,
642,278425,2439.687,0%,
643,653910,2435.1276,0%,
644,395731,2435.097,0%,
645,688730,2432.8734,0%,
646,351077,2431.9146,0%,
647,607071,2428.5792,0%,
648,654898,2427.09,0%,
649,651441,2424.1626,0%,
650,893507,2423.6118,0%,
651,379837,2413.3812,0%,
652,997810,2412.167,0%,
653,881257,2411.8818,0%,
654,633803,2411.7288,0%,
655,882847,2406.5574,0%,
656,487097,2402.9568,0%,
657,733178,2402.508,0%,
658,867622,2397.9894,0%,
659,970555,2397.796,0%,
660,970204,2395.96,0%,
661,611512,2394.144,0%,
662,723169,2393.5728,0%,
663,698024,2392.9404,0%,
664,703084,2390.6964,0%,
665,455377,2388.4932,0%,
666,866754,2387.5242,0%,
667,931871,2387.137,0%,
668,910038,2386.994,0%,
669,358589,2384.811,0%,
670,906193,2384.5254,0%,
671,336059,2378.1912,0%,
672,492113,2376.0594,0%,
673,608184,2375.0292,0%,
674,685493,2371.7652,0%,
675,264367,2371.2756,0%,
676,428147,2368.8888,0%,
677,655663,2367.5322,0%,
678,267440,2366.6754,0%,
679,378889,2365.4412,0%,
680,616840,2365.0434,0%,
681,787376,2359.9434,0%,
682,901263,2359.821,0%,
683,590388,2358.8418,0%,
684,421906,2358.1686,0%,
685,640235,2357.475,0%,
686,905636,2353.854,0%,
687,814064,2351.5284,0%,
688,590264,2351.3244,0%,
689,341346,2351.0286,0%,
690,641248,2350.6308,0%,
691,366173,2349.2844,0%,
692,428004,2348.7846,0%,
693,272751,2344.9596,0%,
694,530990,2344.011,0%,
695,884125,2342.4402,0%,
696,996304,2341.818,0%,
697,317550,2339.8494,0%,
698,376108,2335.0962,0%,
699,456034,2335.0758,0%,
700,906832,2333.9742,0%,
701,345283,2331.2916,0%,
702,389483,2330.6286,0%,
703,538642,2330.2308,0%,
704,347745,2328.813,0%,
705,666213,2328.5988,0%,
706,269122,2327.2116,0%,
707,887702,2326.263,0%,
708,857809,2325.2634,0%,
709,847902,2322.4686,0%,
710,363784,2319.225,0%,
711,650939,2318.817,0%,
712,639453,2318.511,0%,
713,839729,2317.134,0%,
714,740936,2316.1344,0%,
715,570522,2313.768,0%,
716,700867,2309.5248,0%,
717,884047,2309.025,0%,
718,333871,2308.0458,0%,
719,399453,2307.8724,0%,
720,450370,2305.8834,0%,
721,588543,2304.8736,0%,
722,448927,2303.16,0%,
723,737297,2302.9968,0%,
724,889424,2302.6092,0%,
725,581769,2302.4256,0%,
726,592179,2302.395,0%,
727,286250,2296.632,0%,
728,865294,2296.326,0%,
729,562040,2296.0812,0%,
730,689768,2295.4488,0%,
731,420781,2292.1644,0%,
732,510180,2290.5222,0%,
733,537242,2286.432,0%,
734,625438,2285.463,0%,
735,288754,2284.4736,0%,
736,367532,2282.7396,0%,
737,918276,2282.474,0%,
738,863505,2281.8216,0%,
739,527443,2280.363,0%,
740,565770,2277.8232,0%,
741,700968,2277.2214,0%,
742,910029,2274.202,0%,
743,985732,2273.019,0%,
744,534831,2271.489,0%,
745,660096,2271.3972,0%,
746,808083,2271.3258,0%,
747,937501,2268.878,0%,
748,763401,2268.4392,0%,
749,723546,2267.8884,0%,
750,343851,2264.7366,0%,
751,976562,2263.023,0%,
752,557980,2261.1768,0%,
753,430630,2261.085,0%,
754,271171,2259.8304,0%,
755,985981,2256.944,0%,
756,612674,2249.5488,0%,
757,777410,2248.6716,0%,
758,407798,2248.3452,0%,
759,422220,2248.233,0%,
760,713196,2245.2444,0%,
761,927171,2243.449,0%,
762,983761,2241.481,0%,
763,872664,2241.3174,0%,
764,499597,2239.7976,0%,
765,454223,2239.3386,0%,
766,758508,2238.4716,0%,
767,353139,2238.441,0%,
768,864567,2237.4414,0%,
769,390870,2236.4214,0%,
770,898724,2235.3198,0%,
771,403662,2229.7608,0%,
772,325027,2227.4046,0%,
773,628708,2226.1806,0%,
774,509326,2222.5902,0%,
775,884888,2221.3662,0%,
776,269336,2216.8374,0%,
777,377344,2215.3074,0%,
778,691084,2214.9096,0%,
779,677909,2214.8484,0%,
780,845014,2211.6354,0%,
781,818496,2210.3604,0%,
782,279914,2209.2996,0%,
783,504792,2207.3412,0%,
784,469236,2206.3926,0%,
785,985734,2206.291,0%,
786,743591,2203.965,0%,
787,321253,2203.9344,0%,
788,971905,2203.934,0%,
789,510893,2203.3836,0%,
790,279118,2202.231,0%,
791,369708,2201.6394,0%,
792,838367,2199.4464,0%,
793,908611,2198.7426,0%,
794,587852,2198.049,0%,
795,360570,2195.499,0%,
796,521987,2192.2962,0%,
797,779554,2188.8588,0%,
798,281247,2188.5834,0%,
799,959429,2188.43,0%,
800,920802,2187.798,0%,
801,664658,2187.6858,0%,
802,958139,2186.38,0%,
803,319999,2185.4622,0%,
804,508190,2184.7992,0%,
805,904144,2183.6772,0%,
806,711296,2181.2496,0%,
807,564979,2181.219,0%,
808,973032,2180.25,0%,
809,663464,2178.4956,0%,
810,697234,2178.3936,0%,
811,375794,2177.1288,0%,
812,536387,2176.5984,0%,
813,755735,2174.1912,0%,
814,509623,2173.6506,0%,
815,538195,2169.999,0%,
816,966579,2169.662,0%,
817,660737,2169.2136,0%,
818,328887,2168.3874,0%,
819,327149,2168.112,0%,
820,806852,2168.0508,0%,
821,339782,2165.4498,0%,
822,955878,2165.409,0%,
823,505265,2163.9912,0%,
824,887963,2161.7982,0%,
825,787852,2160.2274,0%,
826,997644,2158.269,0%,
827,838639,2157.402,0%,
828,699416,2156.6676,0%,
829,505292,2155.3008,0%,
830,955136,2154.475,0%,
831,866934,2153.0874,0%,
832,434477,2152.6794,0%,
833,890920,2151.7614,0%,
834,626952,2150.7924,0%,
835,404392,2150.4456,0%,
836,276054,2150.2722,0%,
837,931174,2149.079,0%,
838,414728,2149.0686,0%,
839,829764,2149.0278,0%,
840,483590,2148.834,0%,
841,380988,2148.171,0%,
842,339407,2147.8956,0%,
843,525191,2146.6512,0%,
844,815542,2145.4374,0%,
845,383110,2145.417,0%,
846,881337,2143.1016,0%,
847,251518,2140.2966,0%,
848,719759,2138.5014,0%,
849,453953,2138.1342,0%,
850,796783,2137.1142,0%,
851,545522,2135.1558,0%,
852,250994,2134.6356,0%,
853,654479,2132.5956,0%,
854,910080,2132.453,0%,
855,636504,2128.7502,0%,
856,824395,2127.6078,0%,
857,444556,2126.955,0%,
858,519367,2126.5776,0%,
859,951025,2125.976,0%,
860,579322,2124.66,0%,
861,342835,2120.4678,0%,
862,354200,2119.2744,0%,
863,668766,2115.2862,0%,
864,968218,2114.123,0%,
865,755503,2113.1952,0%,
866,702927,2111.196,0%,
867,355320,2110.6656,0%,
868,904489,2109.0234,0%,
869,904710,2106.9834,0%,
870,697036,2106.7284,0%,
871,922614,2106.718,0%,
872,670022,2105.9328,0%,
873,650305,2105.3616,0%,
874,673718,2104.5354,0%,
875,664253,2104.3416,0%,
876,669589,2102.6688,0%,
877,363368,2102.169,0%,
878,340278,2099.976,0%,
879,677771,2099.8944,0%,
880,359381,2099.772,0%,
881,439754,2099.1498,0%,
882,337037,2098.242,0%,
883,805299,2097.9972,0%,
884,607612,2094.7128,0%,
885,786703,2094.3354,0%,
886,529667,2093.601,0%,
887,824912,2093.1828,0%,
888,313706,2091.5304,0%,
889,610792,2090.7756,0%,
890,848585,2089.7964,0%,
891,674830,2089.3884,0%,
892,800526,2088.9498,0%,
893,252885,2088.144,0%,
894,590188,2087.9094,0%,
895,339189,2086.4916,0%,
896,881454,2086.1754,0%,
897,778997,2084.5128,0%,
898,839358,2079.2292,0%,
899,864419,2078.9436,0%,
900,365259,2077.7094,0%,
901,310080,2073.6396,0%,
902,788143,2072.9154,0%,
903,321934,2072.8032,0%,
904,290707,2072.4972,0%,
905,582069,2072.283,0%,
906,410059,2070.9774,0%,
907,909038,2069.2434,0%,
908,949143,2069.152,0%,
909,892363,2068.3152,0%,
910,403966,2068.1214,0%,
911,751438,2066.9382,0%,
912,331523,2066.4078,0%,
913,723421,2064.2148,0%,
914,378299,2064.1434,0%,
915,588313,2063.2764,0%,
916,747064,2062.0626,0%,
917,778758,2061.42,0%,
918,360199,2060.8386,0%,
919,494526,2060.502,0%,
920,433909,2060.145,0%,
921,502115,2052.852,0%,
922,494668,2052.699,0%,
923,865726,2052.6072,0%,
924,946381,2051.179,0%,
925,328436,2051.1282,0%,
926,442314,2050.0674,0%,
927,394749,2048.4354,0%,
928,834628,2047.599,0%,
929,765281,2046.63,0%,
930,823531,2046.069,0%,
931,733551,2045.7528,0%,
932,606393,2045.0082,0%,
933,467437,2042.5806,0%,
934,485555,2040.7446,0%,
935,428439,2040.4794,0%,
936,306388,2040.153,0%,
937,760646,2038.9392,0%,
938,915111,2038.888,0%,
939,758197,2038.317,0%,
940,505017,2038.1436,0%,
941,636729,2038.0926,0%,
942,310368,2037.7866,0%,
943,697197,2037.0522,0%,
944,913861,2036.348,0%,
945,734078,2034.033,0%,
946,526145,2029.2288,0%,
947,316254,2028.2802,0%,
948,787758,2026.6176,0%,
949,980504,2026.434,0%,
